Naive Bayes,Árvore,Random Forest,KNN,Logística,SVM,RNA
7,4,2,5,6,3,1
7,3.5,2,5,6,3.5,1
7,4,2,5,6,3,1
7,2,3,5,6,4,1
7,3,2,5,6,4,1
7,4,3,5,6,2,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,3,2,5,6,4,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,2,3.5,5,6,3.5,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,2.5,2.5,4.5,6,4.5,1
7,3.5,2,5,6,3.5,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,4,2,5,6,3,1
7,3,2,5,6,4,1
7,3.5,2,5,6,3.5,1
7,4,2,5,6,3,1
7,5,3,4,6,2,1
7,4,2,5,6,3,1
